"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2003,6.47,75,3,6.216432048,8.490463215,2,10,6.676723816,2,2,1.666666667,5,5,3.993334023,6.584842841,2.69599106066667,4.84850718675,0.888888889,3.540970953,8.771252434,9.227175928,9.332344738,10,9.332693275,8.846666667,5.833333333,10,6.294871795,7.743717949,7.925890143,3.688229332,3.605983054,5.07336751,"South America"
2002,6.27,80,3,4.702269716,8.709209096,10,5.5,7.227869703,3.5,4.166666667,4,3.333333333,1.666666667,1.803958128,8.743539444,5.07924306325,3.04744748491667,1,3.887737748,7.392866828,8.418939917,8.730213512,5,7.385505064,7.755555556,6.416666667,8.553791887,2.916666667,6.410670194,8.432663114,5.266166417,5.641612307,6.446813946,"South America"
2004,5.68,109,4,7.55,9.858310627,7,8,8.102077657,0.363984674,1.455938697,2.432950192,2.5,5,4.380510817,7.485392208,3.52758862483333,4.07787232666667,0.888888889,3.186660333,1.936084149,5.131756772,9.451563734,0,4.129851164,7.237777778,4.521552846,10,6.682319618,7.110412561,9.204758372,3.765900383,4.612819388,5.861159381,"South America"
2001,7.37,33,2,6.913325405,6.512048075,6,5,6.10634337,5.41362524,5.401002566,4.962962866,6.666666667,8.333333333,5.109379145,8.953927906,8.36808456125,5.94715424316667,0.777777778,5.694082251,9.96468289,8.524898735,9.286156779,10,9.443934601,9.067536501,9.174129407,10,6.996890192,8.809639025,9.257480548,4.387942093,6.696417517,6.780613386,"South America"
2000,6.62,96.2857142857143,3,1.61554621842857,8.66690410842857,9.28571428571429,5,6.19915605657143,4.67240397785714,4.07035426542857,4.78152959557143,5.21428571428571,5,2.74579217628571,3.15655439842857,6.911833296,6.18128577114286,0.974358974,4.67042864371429,9.63472013457143,7.18441350628571,7.37510960557143,10,8.54856081157143,7.48727619057143,6.566549449,10,3.56644548585714,6.90506778142857,7.724098861,7.66574244085714,4.91342203,6.76775444385714,"South America"
1990,5.62,51,2,7.863106785,9.373297003,0,10,6.809100947,2.25768747958824,2.73312579777778,3.9,5.05169756511111,1.7,4.02262274335294,6.66803510458824,2.69599106066667,4.84850718675,0.888888889,2.993373809,5.616635633,0,6.748,10,5.591158908,7.563333333,5.11895898164706,9.4,2,6.321111111,9.333333333,4.07078569447059,3.86271534964706,6.3735425,"South America"
2016,7.8,15,1,6.629411765,7.891641773,10,7,7.880263385,6.439824898,4.708226323,7.06916809,7.5,7.5,5.109379145,9.066918247,8.145647048,5.205232302,0.902439024,6.42013942,8.713567963,9.369285721,9.2428,10,9.331413421,9.470666667,7.029769477,10,6.573815995,8.268563035,8.947500322,5.170611125,7.176758575,7.098290007,"South America"
1975,6.22,15,1,6.191176471,9.509536785,4,10,7.425178314,0.687702548277778,1.17907475344444,2.3,1.42454209127778,3.560829025,3.69535796129412,8.42970084776471,1.59210899466667,1.77785516816667,1,2.783018182,5.526039095,3.972,8.986,10,7.121009774,7.533333333,3.39541185933333,10,8,8.511111111,7.384884885,3.15516540384211,3.07616298433333,5.24293006,"South America"
1985,6.16,28,2,6.643092665,7.411444142,4,10,7.013634202,7.0748733176875,5.11175096733333,3.5,6.96831234222222,8.2,3.84060653264706,6.42653492288235,5.19762443608333,5.34981235441667,1,5.377992288,2.977719437,1.852,0,10,3.707429859,4.966666667,6.41133748894118,10,10,8.322222222,6.969302636,6.23815071817647,6.25590529823529,6.361955703,"South America"
1975,6,103.105263157895,3.42105263157895,3.15,0,1.9,5.52631578947368,4.31190505695,3.57444071753846,3.95899371811111,3.7448162718125,7.43613155161111,3.05049569161905,4.548367217,7.48437358630769,2.97254118416667,3.47546058258333,0.923076923,4.34147815066667,5.974385263,5.04,7.068,0,4.520596316,0,5.81579366269231,8.75337995336364,0,6.54039064265,3.643643644,7.6204143314,6.03629394676923,7.02003938227778,"South America"
